Wall time,Step,Value
1663612400.631681,28000,10.363709449768066
1663612440.7995596,28100,11.034035682678223
1663612481.0621982,28200,11.598599433898926
1663612521.2792802,28300,10.220510482788086
1663612561.704409,28400,11.211931228637695
1663612601.9772437,28500,11.266531944274902
1663612642.239523,28600,10.202411651611328
1663612682.4274554,28700,10.215588569641113
1663612722.8243012,28800,8.807723999023438
1663612762.9909847,28900,11.104783058166504
1663612803.3100355,29000,10.860170364379883
1663612843.4858623,29100,11.967569351196289
1663612883.8730977,29200,11.145842552185059
1663612924.0359251,29300,11.252727508544922
1663612964.3964076,29400,11.36889934539795
1663613004.5198991,29500,11.283474922180176
1663613044.816313,29600,11.164843559265137
1663613085.018947,29700,11.37094497680664
1663613125.2248974,29800,11.213027000427246
1663613165.582052,29900,10.405973434448242
